original_title,cast,director,is_novel_based,runtime,genres,production_companies,release_month,release_year,budget_adj,revenue_adj,profit
Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,no,124.0,Action,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6,2015,137999939.0,1392445893.0,1254445954.0
Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,no,120.0,Action,Village Roadshow Pictures|Kennedy Miller Productions,5,2015,137999939.0,348161292.0,210161353.0
Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,yes,119.0,Adventure,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3,2015,101199955.0,271619025.0,170419070.0
Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,no,136.0,Action,Lucasfilm|Truenorth Productions|Bad Robot,12,2015,183999919.0,1902723130.0,1718723211.0
Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,no,137.0,Action,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4,2015,174799923.0,1385748801.0,1210948878.0
The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,yes,156.0,Western,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12,2015,124199945.0,490314247.0,366114302.0
Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,no,125.0,Science Fiction,Paramount Pictures|Skydance Productions,6,2015,142599937.0,405355075.0,262755138.0
The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,yes,141.0,Drama,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9,2015,99359956.0,547749654.0,448389698.0
Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,no,91.0,Family,Universal Pictures|Illumination Entertainment,6,2015,68079970.0,1064192017.0,996112047.0
Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,no,94.0,Comedy,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6,2015,160999929.0,785411574.0,624411645.0
